country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_newinc,c_newinc_next_year,c_newinc_percent_change_next_year,case_change_direction,low_c_newinc_flag,temporal_analysis_cohort_flag
Australia,AUS,2023,WPR,0.6298507462686567,0.04776119402985075,0.4375,False,False,False,1434.0,1613.0,12.482566248256626,Anstieg,False,True
Azerbaijan,AZE,2019,EUR,1.0,0.9185363650052702,,True,False,False,4823.0,3683.0,-23.636740617872693,Rückgang,False,True
Azerbaijan,AZE,2020,EUR,1.0,0.90008173273396,,True,False,False,3683.0,3663.0,-0.5430355688297583,Rückgang,False,True
Azerbaijan,AZE,2021,EUR,1.0,0.8862979777135782,,True,False,False,3663.0,3989.0,8.8998088998089,Anstieg,False,True
Azerbaijan,AZE,2022,EUR,0.9199848312476299,0.9199848312476299,0.9499175597691674,False,False,False,3989.0,3965.0,-0.6016545500125344,Rückgang,False,True
Azerbaijan,AZE,2023,EUR,0.9799668416689693,0.9271898314451505,0.4380867232901207,False,False,False,3965.0,3741.0,-5.649432534678437,Rückgang,False,True
Burundi,BDI,2023,AFR,0.6634382566585957,0.5375302663438256,,False,False,False,7948.0,8085.0,1.723704076497232,Anstieg,False,False
Benin,BEN,2019,AFR,1.0,0.9261965655827549,0.8587771203155818,True,False,False,4266.0,3908.0,-8.391936240037506,Rückgang,False,True
Benin,BEN,2020,AFR,1.0,0.9014272970561998,0.9247897080653142,True,False,False,3908.0,3711.0,-5.040941658137155,Rückgang,False,True
Benin,BEN,2021,AFR,1.0,0.9220231822971549,0.92,True,False,False,3711.0,4146.0,11.721907841552143,Anstieg,False,True
Benin,BEN,2022,AFR,1.0,0.9138202837624803,0.9286946520989074,True,False,False,4146.0,4305.0,3.8350217076700437,Anstieg,False,True
Benin,BEN,2023,AFR,1.0,0.9199444701527071,0.9024144869215291,True,False,False,4305.0,4032.0,-6.341463414634147,Rückgang,False,True
Burkina Faso,BFA,2020,AFR,0.4047449584816133,0.1879003558718861,0.9002525252525253,False,False,False,5691.0,6882.0,20.927780706378492,Anstieg,False,False
Burkina Faso,BFA,2021,AFR,0.630110159118727,0.399265605875153,0.8160637645616187,False,False,False,6882.0,7444.0,8.166230746875907,Anstieg,False,False
Burkina Faso,BFA,2022,AFR,1.0,0.4232320516267814,0.9783989834815756,True,False,False,7444.0,8667.0,16.42933906501881,Anstieg,False,False
Bulgaria,BGR,2022,EUR,0.98854041013269,0.6737032569360676,,False,False,False,764.0,858.0,12.30366492146597,Anstieg,False,False
Bulgaria,BGR,2023,EUR,0.9447698744769875,,,False,False,False,858.0,873.0,1.7482517482517483,Anstieg,False,False
Bahrain,BHR,2019,EMR,0.9432624113475178,0.11550151975683891,,False,False,False,178.0,193.0,8.426966292134832,Anstieg,False,True
Bahrain,BHR,2020,EMR,0.8869257950530035,0.17314487632508835,0.6938775510204082,False,False,False,193.0,196.0,1.5544041450777202,Anstieg,False,True
Bahrain,BHR,2021,EMR,1.0,0.19718309859154928,0.38392857142857145,True,False,False,196.0,188.0,-4.081632653061225,Rückgang,False,True
Bahrain,BHR,2022,EMR,0.8310626702997275,0.08446866485013624,1.0,False,False,True,188.0,163.0,-13.297872340425531,Rückgang,False,True
Bahrain,BHR,2023,EMR,0.8783269961977186,0.20912547528517111,1.0,False,False,True,163.0,146.0,-10.429447852760736,Rückgang,False,True
Bahamas,BHS,2019,AMR,0.29850746268656714,0.16169154228855723,0.38461538461538464,False,False,False,51.0,31.0,-39.21568627450981,Rückgang,False,True
Bahamas,BHS,2020,AMR,1.0,0.0625,1.0,True,False,True,31.0,44.0,41.935483870967744,Anstieg,False,True
Bahamas,BHS,2021,AMR,0.9705882352941176,0.47058823529411764,1.0,False,False,True,44.0,48.0,9.090909090909092,Anstieg,False,True
Bahamas,BHS,2022,AMR,1.0,0.44680851063829785,1.0,True,False,True,48.0,27.0,-43.75,Rückgang,False,True
Bahamas,BHS,2023,AMR,1.0,0.8,1.0,True,False,True,27.0,56.0,107.40740740740742,Anstieg,False,True
Belarus,BLR,2019,EUR,1.0,0.00820251732428228,,True,False,False,2207.0,1514.0,-31.400090620752152,Rückgang,False,True
Belarus,BLR,2020,EUR,1.0,0.0052451919074182,,True,False,False,1514.0,1484.0,-1.9815059445178336,Rückgang,False,True
Belarus,BLR,2021,EUR,1.0,0.0063907044299201165,,True,False,False,1484.0,1670.0,12.533692722371967,Anstieg,False,True
Belarus,BLR,2022,EUR,1.0,0.011233150274588119,,True,False,False,1670.0,1555.0,-6.88622754491018,Rückgang,False,True
Belarus,BLR,2023,EUR,1.0,0.008099866590432629,,True,False,False,1555.0,1241.0,-20.192926045016076,Rückgang,False,True
Belize,BLZ,2020,AMR,1.0,,,True,False,False,78.0,72.0,-7.6923076923076925,Rückgang,False,False
Bermuda,BMU,2020,AMR,1.0,0.0,,True,True,False,3.0,2.0,-33.33333333333333,Rückgang,True,False
Bermuda,BMU,2021,AMR,1.0,0.3333333333333333,1.0,True,False,True,2.0,1.0,-50.0,Rückgang,True,False
Bolivia (Plurinational State of),BOL,2019,AMR,0.9469657337169762,0.11241171854564479,0.8720186154741129,False,False,False,7461.0,6007.0,-19.488004288969307,Rückgang,False,True
Bolivia (Plurinational State of),BOL,2020,AMR,0.8317748356633645,0.1101749837977965,0.8831932773109243,False,False,False,6007.0,7071.0,17.71266855335442,Anstieg,False,True
Bolivia (Plurinational State of),BOL,2021,AMR,0.8042598860728143,0.09716833154462148,0.8887000849617672,False,False,False,7071.0,8073.0,14.170555791260075,Anstieg,False,True
Bolivia (Plurinational State of),BOL,2022,AMR,0.7928707162047048,0.08996789201231899,0.8725418790968682,False,False,False,8073.0,9322.0,15.471324166976341,Anstieg,False,True
Bolivia (Plurinational State of),BOL,2023,AMR,0.9500056236643797,0.08216173658756046,0.7221081451060917,False,False,False,9322.0,9302.0,-0.21454623471358078,Rückgang,False,True
