country,iso3,year,g_whoregion,screen_data_available,newinc_con,newinc_con_screen,newinc_con_tb,prevtx_data_available,newinc_con_prevtx,newinc_con04_prevtx,newinc_con_prevtx_cmplt,country_notifications,g_whoregion_notifications,c_newinc,new_labconf,new_clindx,new_ep,country_drug_resistance,g_whoregion_drug_resistance,r_rlt_new,rr_new,dst_rlt_new,mdr_new,r_rlt_ret,rr_ret,dst_rlt_ret,mdr_ret,country_outcomes,g_whoregion_outcomes,newrel_coh,newrel_succ,newrel_fail,newrel_died,newrel_lost,c_new_tsr,rel_with_new_flg,contact_screening_rate,tpt_start_rate,tpt_completion_rate,rr_rate_new,mdr_rate_new,treatment_success_rate,treatment_death_rate,unsuccessful_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_newinc_next_year,rr_rate_new_next_year,mdr_rate_new_next_year,c_new_tsr_next_year,newrel_coh_next_year,treatment_success_rate_next_year,treatment_death_rate_next_year,unsuccessful_rate_next_year,c_newinc_percent_change_next_year,low_c_newinc_flag,case_change_direction,temporal_analysis_cohort_flag
United Arab Emirates,ARE,2020,EMR,60.0,195.0,178.0,,60.0,14.0,2.0,12.0,United Arab Emirates,EMR,62.0,32.0,1.0,29.0,United Arab Emirates,EMR,29.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,United Arab Emirates,EMR,62.0,48.0,1.0,6.0,2.0,77.0,1.0,0.9128205128205128,0.07179487179487179,0.8571428571428571,0.0,0.0,0.7741935483870968,0.0967741935483871,0.14516129032258066,False,False,False,66.0,0.0,0.0,85.0,66.0,0.8484848484848485,0.09090909090909091,0.12121212121212122,6.451612903225806,False,Anstieg,True
United Arab Emirates,ARE,2021,EMR,60.0,337.0,330.0,,60.0,24.0,8.0,22.0,United Arab Emirates,EMR,66.0,31.0,4.0,30.0,United Arab Emirates,EMR,23.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,United Arab Emirates,EMR,66.0,56.0,0.0,6.0,2.0,85.0,1.0,0.9792284866468842,0.0712166172106825,0.9166666666666666,0.0,0.0,0.8484848484848485,0.09090909090909091,0.12121212121212122,False,False,False,65.0,0.05,0.07142857142857142,87.0,63.0,0.873015873015873,0.09523809523809523,0.1111111111111111,-1.5151515151515151,False,Rückgang,True
United Arab Emirates,ARE,2022,EMR,60.0,320.0,309.0,0.0,60.0,25.0,15.0,16.0,United Arab Emirates,EMR,65.0,30.0,5.0,28.0,United Arab Emirates,EMR,20.0,1.0,14.0,1.0,3.0,0.0,3.0,0.0,United Arab Emirates,EMR,63.0,55.0,0.0,6.0,1.0,87.0,1.0,0.965625,0.078125,0.64,0.05,0.07142857142857142,0.873015873015873,0.09523809523809523,0.1111111111111111,False,False,False,66.0,0.0,0.0,78.0,65.0,0.7846153846153846,0.13846153846153847,0.2,1.5384615384615385,False,Anstieg,True
United Arab Emirates,ARE,2023,EMR,1.0,213.0,158.0,0.0,1.0,10.0,0.0,10.0,United Arab Emirates,EMR,66.0,29.0,3.0,33.0,United Arab Emirates,EMR,29.0,0.0,19.0,0.0,3.0,0.0,3.0,0.0,United Arab Emirates,EMR,65.0,51.0,0.0,9.0,4.0,78.0,1.0,0.7417840375586855,0.046948356807511735,1.0,0.0,0.0,0.7846153846153846,0.13846153846153847,0.2,False,False,True,57.0,0.038461538461538464,0.0,,,,,,-13.636363636363635,False,Rückgang,True
United Arab Emirates,ARE,2024,EMR,1.0,283.0,186.0,1.0,1.0,27.0,15.0,,United Arab Emirates,EMR,57.0,29.0,2.0,23.0,United Arab Emirates,EMR,26.0,1.0,23.0,0.0,5.0,0.0,5.0,0.0,,,,,,,,,,0.657243816254417,0.09540636042402827,,0.038461538461538464,0.0,,,,False,False,False,,,,,,,,,,False,,True
Armenia,ARM,2019,EUR,60.0,2579.0,2432.0,,60.0,46.0,46.0,,Armenia,EUR,621.0,239.0,142.0,161.0,Armenia,EUR,233.0,38.0,231.0,33.0,66.0,27.0,65.0,23.0,Armenia,EUR,485.0,399.0,19.0,36.0,29.0,82.0,1.0,0.9430011632415665,0.017836370686312525,,0.1630901287553648,0.14285714285714285,0.822680412371134,0.07422680412371134,0.1731958762886598,False,False,False,394.0,0.1414141414141414,0.14207650273224043,81.0,303.0,0.8052805280528053,0.07920792079207921,0.18811881188118812,-36.553945249597426,False,Rückgang,True
Armenia,ARM,2020,EUR,60.0,1049.0,935.0,,60.0,23.0,23.0,,Armenia,EUR,394.0,199.0,64.0,106.0,Armenia,EUR,198.0,28.0,183.0,26.0,48.0,24.0,45.0,23.0,Armenia,EUR,303.0,244.0,14.0,24.0,19.0,81.0,1.0,0.8913250714966635,0.0219256434699714,,0.1414141414141414,0.14207650273224043,0.8052805280528053,0.07920792079207921,0.18811881188118812,False,False,False,398.0,0.21052631578947367,0.20095693779904306,86.0,317.0,0.8580441640378549,0.04416403785488959,0.14195583596214512,1.015228426395939,False,Anstieg,True
Armenia,ARM,2021,EUR,60.0,1024.0,941.0,,60.0,17.0,17.0,,Armenia,EUR,398.0,209.0,55.0,105.0,Armenia,EUR,209.0,44.0,209.0,42.0,47.0,20.0,47.0,18.0,Armenia,EUR,317.0,272.0,8.0,14.0,23.0,86.0,1.0,0.9189453125,0.0166015625,,0.21052631578947367,0.20095693779904306,0.8580441640378549,0.04416403785488959,0.14195583596214512,False,False,False,440.0,0.15450643776824036,0.14163090128755365,84.0,397.0,0.8438287153652393,0.0654911838790932,0.14357682619647355,10.552763819095476,False,Anstieg,True
Armenia,ARM,2022,EUR,60.0,727.0,664.0,29.0,60.0,20.0,20.0,,Armenia,EUR,440.0,233.0,72.0,106.0,Armenia,EUR,233.0,36.0,233.0,33.0,46.0,20.0,46.0,19.0,Armenia,EUR,397.0,335.0,5.0,26.0,26.0,84.0,1.0,0.9133425034387895,0.027510316368638238,,0.15450643776824036,0.14163090128755365,0.8438287153652393,0.0654911838790932,0.14357682619647355,False,False,False,404.0,0.16666666666666666,0.14444444444444443,86.0,363.0,0.8622589531680441,0.05785123966942149,0.12396694214876033,-8.181818181818182,False,Rückgang,True
Armenia,ARM,2023,EUR,1.0,566.0,532.0,13.0,1.0,20.0,20.0,,Armenia,EUR,404.0,180.0,92.0,105.0,Armenia,EUR,180.0,30.0,180.0,26.0,45.0,19.0,45.0,18.0,Armenia,EUR,363.0,313.0,8.0,21.0,16.0,86.0,1.0,0.9399293286219081,0.0353356890459364,,0.16666666666666666,0.14444444444444443,0.8622589531680441,0.05785123966942149,0.12396694214876033,False,False,False,383.0,0.14492753623188406,0.13043478260869565,,,,,,-5.198019801980198,False,Rückgang,True
