country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_new_tsr_next_year,newrel_coh_next_year,treatment_success_rate_next_year,treatment_death_rate_next_year,unsuccessful_rate_next_year
Democratic Republic of the Congo,COD,2020,AFR,0.857762307546094,0.5349030602547045,,False,False,False,95.0,214408.0,0.9531220849968285,0.019392933099511213,0.03905171448826536
Democratic Republic of the Congo,COD,2021,AFR,0.8919433583858355,0.6018576666734193,,False,False,False,95.0,246119.0,0.9544082334155429,0.017479349420402326,0.03613292756755878
Democratic Republic of the Congo,COD,2022,AFR,0.8837998175773977,0.6531859881349927,,False,False,False,95.0,258069.0,0.9519004607294949,0.016956705377244072,0.036730486807791715
Congo,COG,2022,AFR,0.0,1.0,,True,True,False,86.0,14370.0,0.8638830897703549,0.02025052192066806,0.09916492693110647
Cook Islands,COK,2019,WPR,1.0,,,True,False,False,100.0,1.0,1.0,0.0,0.0
Colombia,COL,2019,AMR,0.16919072408897304,0.1110269758637009,,False,False,False,71.0,11634.0,0.7072374075984185,0.16254082860581057,0.2723912669761045
Colombia,COL,2020,AMR,0.07013450452923414,0.10005489980785068,0.23251028806584362,False,False,False,73.0,13141.0,0.7325926489612663,0.13865002663419831,0.23841412373487558
Colombia,COL,2021,AMR,0.188738627981313,0.11266289648389476,0.8847664775207333,False,False,False,74.0,16692.0,0.739995207284927,0.12640786005271987,0.239515935777618
Colombia,COL,2022,AMR,0.15908146917462768,0.07405209754939773,0.8733974358974359,False,False,False,68.0,18998.0,0.6811243288767239,0.12896094325718496,0.2703968838825139
Cabo Verde,CPV,2019,AFR,1.0,0.3724137931034483,1.0,True,False,True,91.0,207.0,0.9130434782608695,0.043478260869565216,0.08695652173913043
Cabo Verde,CPV,2020,AFR,1.0,0.43636363636363634,1.0,True,False,True,92.0,182.0,0.9175824175824175,0.04945054945054945,0.08241758241758242
Cabo Verde,CPV,2021,AFR,1.0,0.7435897435897436,1.0,True,False,True,71.0,168.0,0.7142857142857143,0.05357142857142857,0.06547619047619048
Costa Rica,CRI,2022,AMR,1.0,0.34175217048145223,,True,False,False,86.0,462.0,0.8636363636363636,0.06493506493506493,0.12121212121212122
Cuba,CUB,2019,AMR,1.0,0.2627378759975445,0.36253894080996885,True,False,False,79.0,573.0,0.794066317626527,0.12216404886561955,0.15357766143106458
Cuba,CUB,2020,AMR,0.8860091474140964,0.07212384191392049,0.9560975609756097,False,False,False,81.0,500.0,0.81,0.104,0.148
Cuba,CUB,2021,AMR,0.7998829724985371,0.17992978349912228,0.9560975609756097,False,False,False,85.0,711.0,0.8466947960618847,0.10548523206751055,0.15330520393811534
Cuba,CUB,2022,AMR,1.0,0.182559324501383,0.6004784688995215,True,False,False,88.0,748.0,0.8756684491978609,0.08021390374331551,0.12032085561497326
Dominican Republic,DOM,2019,AMR,0.5114247311827957,,,False,False,False,84.0,2418.0,0.8374689826302729,0.05996691480562448,0.1621174524400331
Dominican Republic,DOM,2020,AMR,0.41448140900195696,0.016634050880626222,,False,False,False,82.0,3175.0,0.8173228346456692,0.06015748031496063,0.1826771653543307
Dominican Republic,DOM,2021,AMR,0.568019093078759,,,False,False,False,80.0,3853.0,0.8014534129249935,0.06410589151310667,0.19802751103036595
Dominican Republic,DOM,2022,AMR,0.5469798657718121,0.034995206136145734,0.9178082191780822,False,False,False,81.0,4177.0,0.8089537945894183,0.05338759875508738,0.1888915489585827
Ecuador,ECU,2019,AMR,0.8860731840524304,0.06608410704533042,,False,False,False,70.0,5175.0,0.7029951690821256,0.05004830917874396,0.25333333333333335
Ecuador,ECU,2020,AMR,0.86002886002886,0.04383975812547241,,False,False,False,69.0,5473.0,0.6923076923076923,0.05919970765576466,0.23990498812351543
Ecuador,ECU,2021,AMR,0.9048251438689686,0.08056662239929172,,False,False,False,71.0,6345.0,0.7109535066981876,0.0512214342001576,0.230575256107171
Ecuador,ECU,2022,AMR,0.9364607273218872,0.05718534541030147,,False,False,False,72.0,7525.0,0.7160132890365448,0.051029900332225916,0.22591362126245848
Egypt,EGY,2019,EMR,0.8502874834144184,0.05030959752321981,0.8615384615384616,False,False,False,89.0,6834.0,0.8906935908691835,0.03219198127011999,0.10623353819139596
Egypt,EGY,2022,EMR,0.909302928219746,0.12788287121015807,0.7993920972644377,False,False,False,88.0,9277.0,0.8756063382559017,0.029104236283281234,0.12439366174409831
Eritrea,ERI,2019,AFR,0.05309734513274336,0.09498525073746313,,False,False,False,91.0,1617.0,0.9090909090909091,0.04638218923933209,0.08163265306122448
Eritrea,ERI,2022,AFR,1.0,,0.9957716701902748,True,False,False,93.0,2210.0,0.9343891402714932,0.03619909502262444,0.04841628959276018
Ethiopia,ETH,2019,AFR,0.8902705000855838,,,False,False,False,86.0,104651.0,0.861100228378133,0.019340474529627047,0.03563272209534548
Ethiopia,ETH,2020,AFR,0.9308046511335725,0.055098720372894774,,False,False,False,87.0,101547.0,0.8713206692467528,0.019193083005898746,0.03529400179227353
Ethiopia,ETH,2021,AFR,0.892148603681395,0.11294806452971652,,False,False,False,86.0,113638.0,0.8608476037945053,0.016226966331684824,0.034829898449462326
Ethiopia,ETH,2022,AFR,0.9398548802259968,0.1779832366585168,0.7145446854794851,False,False,False,96.0,134000.0,0.9610671641791044,0.015253731343283582,0.030611940298507462
Fiji,FJI,2019,WPR,0.7975308641975308,0.2777777777777778,0.3022222222222222,False,False,False,54.0,443.0,0.5417607223476298,0.14221218961625282,0.3115124153498871
Fiji,FJI,2020,WPR,1.0,1.0,0.5986696230598669,True,True,False,56.0,290.0,0.5551724137931034,0.16206896551724137,0.39655172413793105
Fiji,FJI,2021,WPR,1.0,1.0,0.16806722689075632,True,True,False,50.0,577.0,0.5008665511265165,0.08492201039861352,0.15944540727902945
Fiji,FJI,2022,WPR,1.0,0.9966777408637874,0.6466666666666666,True,False,False,60.0,391.0,0.6035805626598465,0.16879795396419436,0.21994884910485935
France,FRA,2021,EUR,0.829295154185022,,,False,False,False,37.0,3965.0,0.3654476670870114,0.027994955863808322,0.06103404791929382
Micronesia (Federated States of),FSM,2019,WPR,0.868020304568528,0.1319796954314721,,False,False,False,78.0,92.0,0.782608695652174,0.05434782608695652,0.06521739130434782
Micronesia (Federated States of),FSM,2020,WPR,0.36705882352941177,0.1223529411764706,0.3269230769230769,False,False,False,92.0,72.0,0.9166666666666666,0.041666666666666664,0.06944444444444445
Micronesia (Federated States of),FSM,2022,WPR,0.061046511627906974,0.0436046511627907,,False,False,False,88.0,211.0,0.8767772511848341,0.009478672985781991,0.09004739336492891
Ghana,GHA,2019,AFR,0.09341819675016132,0.0005279521323400012,1.0,False,False,True,86.0,12624.0,0.8603453738910013,0.08452154626108999,0.1326045627376426
Ghana,GHA,2020,AFR,0.910989678202793,0.01068609593199757,,False,False,False,87.0,13110.0,0.8685736079328756,0.0696414950419527,0.11632341723874905
Ghana,GHA,2021,AFR,0.9797316585783614,0.20678703968027404,,False,False,False,87.0,16420.0,0.8723507917174178,0.06254567600487211,0.10889159561510353
Ghana,GHA,2022,AFR,0.9198599198091661,0.4383596406638583,,False,False,False,90.0,19005.0,0.8966061562746646,0.05219679031833728,0.08692449355432781
Guinea,GIN,2021,AFR,1.0,1.0,,True,True,False,90.0,19954.0,0.903026962012629,0.04199659216197254,0.08549664227723765
Guinea,GIN,2022,AFR,1.0,1.0,,True,True,False,90.0,19660.0,0.9002543234994913,0.04074262461851475,0.09160732451678535
Gambia,GMB,2020,AFR,0.1454849498327759,0.42474916387959866,0.7244094488188977,False,False,False,84.0,2254.0,0.8402839396628217,0.062111801242236024,0.15527950310559005
Gambia,GMB,2021,AFR,0.1302048909451421,0.22207534699272968,0.8482142857142857,False,False,False,87.0,2535.0,0.8706114398422091,0.04378698224852071,0.11952662721893491
Gambia,GMB,2022,AFR,0.06245443499392467,0.1859052247873633,1.0,False,False,True,87.0,2739.0,0.8740416210295728,0.044906900328587074,0.12595837897042717
Guinea-Bissau,GNB,2019,AFR,1.0,0.8406466512702079,0.27197802197802196,True,False,False,75.0,2542.0,0.7505900865460268,0.0952006294256491,0.21754523996852873
Guinea-Bissau,GNB,2020,AFR,0.0,0.8394415357766143,0.47193347193347196,True,False,False,75.0,2490.0,0.7461847389558233,0.06385542168674699,0.21646586345381527
Guatemala,GTM,2021,AMR,0.30228667038482987,0.30228667038482987,,False,False,False,88.0,4030.0,0.8764267990074441,0.06228287841191067,0.12357320099255584
Guatemala,GTM,2022,AMR,0.8081415519833468,0.2524574997108824,,False,False,False,85.0,4554.0,0.847167325428195,0.06258234519104085,0.152832674571805
Guam,GUM,2019,WPR,0.30364372469635625,0.19838056680161945,0.5306122448979592,False,False,False,75.0,57.0,0.7543859649122807,0.12280701754385964,0.21052631578947367
