country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,rr_rate_new_next_year,mdr_rate_new_next_year
Benin,BEN,2023,AFR,1.0,0.9199444701527071,0.9024144869215291,True,False,False,0.007523510971786834,0.2631578947368421
Burkina Faso,BFA,2020,AFR,0.4047449584816133,0.1879003558718861,0.9002525252525253,False,False,False,0.023668639053254437,0.9423076923076923
Burkina Faso,BFA,2021,AFR,0.630110159118727,0.399265605875153,0.8160637645616187,False,False,False,0.027790030877812087,0.09375
Burkina Faso,BFA,2022,AFR,1.0,0.4232320516267814,0.9783989834815756,True,False,False,0.017318159327065808,0.92
Bulgaria,BGR,2022,EUR,0.98854041013269,0.6737032569360676,,False,False,False,0.03139013452914798,0.026905829596412557
Bulgaria,BGR,2023,EUR,0.9447698744769875,,,False,False,False,0.01937984496124031,0.015625
Bahrain,BHR,2019,EMR,0.9432624113475178,0.11550151975683891,,False,False,False,0.0,0.0
Bahrain,BHR,2020,EMR,0.8869257950530035,0.17314487632508835,0.6938775510204082,False,False,False,0.008928571428571428,0.0
Bahrain,BHR,2021,EMR,1.0,0.19718309859154928,0.38392857142857145,True,False,False,0.0196078431372549,0.024390243902439025
Bahrain,BHR,2022,EMR,0.8310626702997275,0.08446866485013624,1.0,False,False,True,0.02040816326530612,0.010309278350515464
Bahrain,BHR,2023,EMR,0.8783269961977186,0.20912547528517111,1.0,False,False,True,0.012195121951219513,0.0
Bahamas,BHS,2019,AMR,0.29850746268656714,0.16169154228855723,0.38461538461538464,False,False,False,0.05,0.0
Bahamas,BHS,2021,AMR,0.9705882352941176,0.47058823529411764,1.0,False,False,True,0.0,0.0
Belarus,BLR,2019,EUR,1.0,0.00820251732428228,,True,False,False,0.39507389162561574,0.3586206896551724
Belarus,BLR,2020,EUR,1.0,0.0052451919074182,,True,False,False,0.37790697674418605,0.33042635658914726
Belarus,BLR,2021,EUR,1.0,0.0063907044299201165,,True,False,False,0.4147963424771405,0.4139650872817955
Belarus,BLR,2022,EUR,1.0,0.011233150274588119,,True,False,False,0.36257833482542523,0.3321396598030439
Belarus,BLR,2023,EUR,1.0,0.008099866590432629,,True,False,False,0.35942668136714445,0.26681367144432194
Belize,BLZ,2020,AMR,1.0,,,True,False,False,0.0,0.0
Bermuda,BMU,2020,AMR,1.0,0.0,,True,True,False,0.0,0.0
Bolivia (Plurinational State of),BOL,2019,AMR,0.9469657337169762,0.11241171854564479,0.8720186154741129,False,False,False,0.013957307060755337,0.0
Bolivia (Plurinational State of),BOL,2020,AMR,0.8317748356633645,0.1101749837977965,0.8831932773109243,False,False,False,0.01809242871189774,0.125
Bolivia (Plurinational State of),BOL,2021,AMR,0.8042598860728143,0.09716833154462148,0.8887000849617672,False,False,False,0.019014891179839632,0.04353562005277045
Bolivia (Plurinational State of),BOL,2022,AMR,0.7928707162047048,0.08996789201231899,0.8725418790968682,False,False,False,0.014625797417146414,0.008557647424926092
Bolivia (Plurinational State of),BOL,2023,AMR,0.9500056236643797,0.08216173658756046,0.7221081451060917,False,False,False,0.014683284958169712,0.004609868533378863
Brazil,BRA,2019,AMR,0.7026140014329628,0.05833082950054314,0.7428480862191933,False,False,False,0.023649048125812935,0.009595132225602621
Brazil,BRA,2020,AMR,0.7123457126508814,0.07628674967984524,0.7134081005786127,False,False,False,0.025525308686547767,0.011218118319398878
Brazil,BRA,2021,AMR,0.7066589666765776,0.09623653454703474,0.6970471154417444,False,False,False,0.02459508098380324,0.009540329575021683
Brazil,BRA,2022,AMR,0.707174955062912,0.11309666466946275,0.7161714714582138,False,False,False,0.022454364331484573,0.009188846641318124
Brazil,BRA,2023,AMR,0.6941940211473658,0.10791968335715724,0.7386792903935351,False,False,False,0.023320693391115928,0.009779419754427903
Brunei Darussalam,BRN,2019,WPR,1.0,0.04154302670623145,,True,False,False,0.0,0.0
Brunei Darussalam,BRN,2020,WPR,1.0,0.0013559322033898306,1.0,True,False,True,0.0,0.0
Brunei Darussalam,BRN,2021,WPR,1.0,1.0,,True,True,False,0.0,0.0
Brunei Darussalam,BRN,2022,WPR,1.0,0.08928571428571429,0.03333333333333333,True,False,False,0.0,0.0
Brunei Darussalam,BRN,2023,WPR,1.0,0.004576659038901602,,True,False,False,0.007575757575757576,0.007575757575757576
Bhutan,BTN,2019,SEA,1.0,0.06666666666666667,1.0,True,False,True,0.17050691244239632,0.11602209944751381
Bhutan,BTN,2020,SEA,1.0,0.09010339734121123,1.0,True,False,True,0.10501193317422435,0.09350649350649351
Bhutan,BTN,2022,SEA,0.8958755916159568,0.12778904665314403,0.8994708994708994,False,False,False,0.10129310344827586,0.09859154929577464
Bhutan,BTN,2023,SEA,1.0,0.045567112431896976,1.0,True,False,True,0.11847389558232932,0.08284023668639054
Botswana,BWA,2023,AFR,0.8702081051478642,0.947973713033954,,False,False,False,0.02321083172147002,0.45
Central African Republic,CAF,2021,AFR,1.0,0.977112676056338,0.9427027027027027,True,False,False,0.02554278416347382,0.0
Central African Republic,CAF,2023,AFR,1.0,0.915702479338843,0.9467509025270758,True,False,False,0.01393819855358317,0.011038701955047213
Switzerland,CHE,2020,EUR,1.0,0.19618528610354224,,True,False,False,0.022727272727272728,0.0228310502283105
Switzerland,CHE,2021,EUR,1.0,0.1544502617801047,,True,False,False,0.00980392156862745,0.00980392156862745
Switzerland,CHE,2022,EUR,1.0,0.12780898876404495,,True,False,False,0.03225806451612903,0.02040816326530612
Switzerland,CHE,2023,EUR,0.7761341222879684,0.1765285996055227,0.6983240223463687,False,False,False,0.01953125,0.01593625498007968
Chile,CHL,2019,AMR,0.8295424490875429,,,False,False,False,0.023178807947019868,0.01456953642384106
Chile,CHL,2020,AMR,0.8273609555804404,,,False,False,False,0.02144469525959368,0.012415349887133182
Chile,CHL,2021,AMR,0.8374358066229857,,,False,False,False,0.018069179143004648,0.005162622612287042
Chile,CHL,2022,AMR,0.839572192513369,,,False,False,False,0.022556390977443608,0.013157894736842105
Chile,CHL,2023,AMR,0.7860446137105549,,,False,False,False,0.01611459265890779,0.006714413607878245
China,CHN,2019,WPR,0.7844423111213574,,,False,False,False,0.037837859582359495,0.047841679707876894
China,CHN,2020,WPR,0.9968101558230482,,,False,False,False,0.04233723096637133,0.031699420224380694
China,CHN,2021,WPR,0.996073763953317,,,False,False,False,0.02879797677973662,0.02401428435879963
China,CHN,2022,WPR,0.7813916412290581,0.010451184277109418,0.5654041390082,False,False,False,0.03064927017350592,0.030651841862641218
China,CHN,2023,WPR,0.8115198926876088,0.008733008389562482,0.9841101694915254,False,False,False,0.03145683249851995,0.03394145409186733
Côte d'Ivoire,CIV,2019,AFR,1.0,0.41790623898484314,0.7736167341430499,True,False,False,0.09649805447470818,0.17232375979112272
Côte d'Ivoire,CIV,2020,AFR,0.17654900964956832,0.17045454545454544,0.8217877094972067,False,False,False,0.0296680009418413,0.3611111111111111
Côte d'Ivoire,CIV,2021,AFR,0.15291657698102765,0.17573260354847636,0.8325459317585302,False,False,False,0.030198621807863802,0.995
Cameroon,CMR,2022,AFR,1.0,,0.06135504507124164,True,False,False,0.017394665635871664,0.24175824175824176
Democratic Republic of the Congo,COD,2019,AFR,0.8023220066188039,0.6286597826283523,,False,False,False,0.04035834663828278,0.8034682080924855
Democratic Republic of the Congo,COD,2020,AFR,0.857762307546094,0.5349030602547045,,False,False,False,0.02285054414389194,0.8
Democratic Republic of the Congo,COD,2021,AFR,0.8919433583858355,0.6018576666734193,,False,False,False,0.026135402386022227,0.5743243243243243
Democratic Republic of the Congo,COD,2022,AFR,0.8837998175773977,0.6531859881349927,,False,False,False,0.024908789386401328,0.5013227513227513
Democratic Republic of the Congo,COD,2023,AFR,0.8880599318768845,0.9046790907313459,0.7436472006733853,False,False,False,0.020638830020810663,0.4742990654205608
Congo,COG,2022,AFR,0.0,1.0,,True,True,False,0.027260179434092476,0.022429261559696344
Congo,COG,2023,AFR,0.20915678524374176,0.11317523056653492,0.8084982537834692,False,False,False,0.02861466501582061,0.9038461538461539
Colombia,COL,2019,AMR,0.16919072408897304,0.1110269758637009,,False,False,False,0.015988372093023256,0.10989010989010989
Colombia,COL,2020,AMR,0.07013450452923414,0.10005489980785068,0.23251028806584362,False,False,False,0.010848755583918315,0.4117647058823529
Colombia,COL,2021,AMR,0.188738627981313,0.11266289648389476,0.8847664775207333,False,False,False,0.012224108658743633,0.006193594054149708
Colombia,COL,2022,AMR,0.15908146917462768,0.07405209754939773,0.8733974358974359,False,False,False,0.025071633237822348,0.009107654523127302
Colombia,COL,2023,AMR,0.12921957047203622,0.05112105131553358,0.8429347826086957,False,False,False,0.026092452148790177,0.013570127504553733
Cabo Verde,CPV,2019,AFR,1.0,0.3724137931034483,1.0,True,False,True,0.0,0.0
Cabo Verde,CPV,2020,AFR,1.0,0.43636363636363634,1.0,True,False,True,0.0,0.0
Cabo Verde,CPV,2021,AFR,1.0,0.7435897435897436,1.0,True,False,True,0.0,0.0
Costa Rica,CRI,2021,AMR,0.9931192660550459,0.2855504587155963,1.0,False,False,True,0.0,0.0
Costa Rica,CRI,2022,AMR,1.0,0.34175217048145223,,True,False,False,0.007853403141361256,0.0
Costa Rica,CRI,2023,AMR,0.8892900120336944,0.4645006016847172,1.0,False,False,True,0.0028089887640449437,0.0028089887640449437
Cuba,CUB,2019,AMR,1.0,0.2627378759975445,0.36253894080996885,True,False,False,0.010526315789473684,0.0
Cuba,CUB,2020,AMR,0.8860091474140964,0.07212384191392049,0.9560975609756097,False,False,False,0.007518796992481203,0.0
